"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"54177186","2021-05-09 21:39:00","5000m row","""22:20.1""","1340.1","","","5000","","24","","2:14.0","145","800","296","","117","49","Hwt","Indoor Rower","No",""
"54177185","2021-05-09 21:04:00","5000m row","""22:04.0""","1324","","","5000","","24","","2:12.4","151","818","299","","116","49","Hwt","Indoor Rower","No",""
"54177184","2021-05-09 20:29:00","5000m row","""22:12.9""","1332.9","","","5000","","24","","2:13.2","148","808","297","","117","49","Hwt","Indoor Rower","No",""
"54164325","2021-05-09 10:47:00","2000m row","""7:55.5""","475.5","","","2000","","26","","1:58.8","208","1017","134","","118","49","Hwt","Indoor Rower","No",""
"54164324","2021-05-09 10:37:00","1616m row","""7:09.5""","429.5","","","1616","","23","","2:12.8","149","813","97","","118","49","Hwt","Indoor Rower","No",""
"54156529","2021-05-08 21:58:00","500m row","""2:37.3""","157.3","","","500","","20","","2:37.2","90","609","25","","117","49","Hwt","Indoor Rower","No",""
"54156528","2021-05-08 21:53:00","5000m row","""23:23.5""","1403.5","","","5000","","22","","2:20.3","127","735","284","","118","49","Hwt","Indoor Rower","No",""
"54156527","2021-05-08 21:16:00","5000m row","""22:29.2""","1349.2","","","5000","","22","","2:14.9","143","790","293","","118","49","Hwt","Indoor Rower","No",""
"54156526","2021-05-08 20:43:00","5000m row","""22:28.7""","1348.7","","","5000","","22","","2:14.8","143","791","295","","117","49","Hwt","Indoor Rower","No",""
"54156525","2021-05-08 20:12:00","1616m row","""7:18.0""","438","","","1616","","23","","2:15.5","141","783","95","","118","49","Hwt","Indoor Rower","No",""
"54134845","2021-05-07 23:43:00","500m row","""2:39.3""","159.3","","","500","","19","","2:39.3","87","597","25","","115","49","Hwt","Indoor Rower","No",""
"54134844","2021-05-07 23:38:00","5000m row","""22:16.9""","1336.9","","","5000","","22","","2:13.6","146","804","296","","115","49","Hwt","Indoor Rower","No",""
"54134843","2021-05-07 22:44:00","5000m row","""22:08.9""","1328.9","","","5000","","22","","2:12.8","149","813","298","","115","49","Hwt","Indoor Rower","No",""
"54118077","2021-05-07 09:29:00","5000m row","""20:33.9""","1233.9","","","5000","","24","","2:03.3","186","941","320","","117","49","Hwt","Indoor Rower","No",""
"54118076","2021-05-07 09:00:00","1616m row","""7:10.6""","430.6","","","1616","","23","","2:13.2","148","809","96","","117","49","Hwt","Indoor Rower","No",""
"54110972","2021-05-06 23:53:00","500m row","""2:31.2""","151.2","","","500","","21","","2:31.2","101","648","25","","116","49","Hwt","Indoor Rower","No",""
"54110971","2021-05-06 23:48:00","5000m row","""23:11.1""","1391.1","","","5000","","22","","2:19.1","130","747","286","","117","49","Hwt","Indoor Rower","No",""
"54110970","2021-05-06 23:21:00","1000m row","""4:45.9""","285.9","","","1000","","24","","2:22.9","120","712","56","","117","49","Hwt","Indoor Rower","No",""
